,Age,score_wifi,score_booking,score_location,score_restaurant,score_spa,score_sports,score_checkin,score_local_sites,score_housekeeping,score_overall
0,13,3,3,1,5,5,5,4,5,5,1
1,25,3,3,3,1,1,1,1,4,1,0
2,26,2,2,2,5,5,5,4,4,5,5
3,25,2,5,5,2,2,2,1,4,2,2
4,61,3,3,3,4,5,3,3,3,3,4
5,26,3,2,1,1,1,1,4,4,1,0
6,47,2,2,3,2,2,2,3,5,2,2
7,52,4,4,4,5,5,5,4,5,4,3
8,41,1,2,2,4,3,1,4,1,2,1
9,20,3,3,4,2,3,2,4,3,2,2
10,24,4,5,4,2,2,2,3,5,2,2
11,12,2,2,2,1,1,1,5,5,1,0
12,53,1,4,4,1,1,1,4,4,1,0
13,33,4,4,3,4,4,4,2,2,4,4
14,26,3,3,2,2,2,2,2,1,2,1
15,13,2,2,3,4,1,4,1,3,4,1
16,26,3,3,3,4,4,4,5,4,4,4
17,41,4,2,4,4,4,5,3,5,5,5
18,45,4,4,4,3,5,5,3,5,4,4
19,38,2,3,2,5,5,5,3,2,5,1
20,9,2,2,4,2,1,2,4,3,2,2
21,17,3,3,3,5,5,5,3,4,5,1
22,43,3,3,5,5,5,3,3,3,4,1
23,58,4,4,5,4,4,4,2,4,2,1
24,23,5,5,1,1,1,1,3,5,1,4
25,57,4,4,1,5,5,5,4,5,5,1
26,33,1,1,1,1,3,4,5,4,2,4
27,49,4,4,4,2,1,4,2,4,2,3
28,36,3,1,1,1,1,3,2,3,2,2
29,22,3,3,3,3,1,3,4,2,3,1
30,31,4,4,4,5,5,5,1,5,5,5
31,15,2,2,3,5,5,5,2,4,5,2
32,35,4,4,4,4,4,3,4,3,4,4
33,67,4,4,1,2,5,5,5,5,5,1
34,37,3,3,4,1,1,1,1,4,1,0
35,40,1,4,4,1,1,1,3,3,1,0
36,34,3,4,3,5,2,5,4,5,5,2
37,40,4,4,2,2,2,2,3,4,2,2
38,47,4,4,3,2,5,4,4,4,4,3
39,41,1,1,2,1,1,1,4,4,1,0
40,39,4,4,4,3,5,4,4,4,3,3
41,25,3,3,4,3,3,3,5,5,3,2
42,41,0,0,3,2,3,4,4,4,3,3
43,38,3,3,3,2,4,5,2,5,4,3
44,50,1,1,1,3,5,3,4,3,5,5
45,29,1,1,1,5,5,5,5,4,5,5
46,22,2,2,1,4,4,4,4,5,4,1
47,13,1,1,1,1,1,1,1,4,1,0
48,54,3,3,3,5,3,5,4,5,3,4
49,21,2,2,3,5,5,5,1,3,5,2
50,28,2,1,1,2,2,2,3,3,2,1
51,27,3,3,3,4,4,4,4,5,4,4
52,69,5,5,5,1,3,5,4,5,2,3
53,35,2,2,4,4,4,4,4,1,4,2
54,60,2,2,3,1,4,4,4,4,4,1
55,45,2,2,2,4,5,4,3,4,5,5
56,57,0,0,1,3,5,5,4,5,5,5
57,40,5,5,5,2,5,5,3,5,4,4
58,38,3,3,3,4,4,4,2,3,4,1
59,23,2,2,1,4,4,4,5,5,4,2
60,39,2,2,3,3,3,3,2,4,3,2
61,52,2,2,2,4,4,4,4,4,3,3
62,25,2,2,2,4,3,4,2,2,4,1
63,48,3,3,3,5,4,5,4,5,4,4
64,59,5,5,5,2,4,4,3,4,4,3
65,25,3,3,3,4,4,4,4,4,4,3
66,38,2,2,3,4,4,4,4,5,4,2
67,46,2,2,2,2,5,5,5,5,4,4
68,50,2,1,1,2,2,2,2,3,2,1
69,38,4,4,4,4,4,4,1,4,4,4
70,53,4,4,4,3,5,5,4,5,5,5
71,30,3,2,2,3,3,3,1,2,3,1
72,39,2,2,4,5,5,5,5,5,5,2
73,66,1,1,2,2,2,2,5,5,2,1
74,45,3,3,2,1,1,1,3,4,1,0
75,25,5,5,4,1,1,1,4,5,1,3
76,52,2,4,4,1,3,2,1,2,4,1
77,64,4,4,2,2,2,2,4,4,2,3
78,50,4,4,4,4,4,4,4,4,4,2
79,41,2,1,2,3,4,3,4,5,3,2
80,26,1,1,1,4,4,4,4,4,4,3
81,25,4,4,3,3,3,3,3,3,3,1
82,44,3,3,4,5,5,5,2,4,5,2
83,21,4,4,4,1,1,1,4,5,1,3
84,47,2,2,2,3,5,4,5,4,4,3
85,31,4,4,4,4,4,4,4,2,4,4
86,57,3,3,2,3,5,5,4,5,5,2
87,44,3,3,4,5,2,5,3,5,5,1
88,45,3,3,3,1,3,4,3,4,1,4
89,13,2,2,3,3,3,3,1,4,3,2
90,60,0,0,3,4,3,4,4,5,4,4
91,41,5,5,3,2,2,2,4,4,2,3
92,30,4,1,1,4,4,4,4,2,4,2
93,51,5,4,4,4,1,5,1,5,1,3
94,61,2,5,5,5,4,3,3,3,4,3
95,32,4,1,1,4,4,4,5,2,4,3
96,39,4,4,5,5,5,5,3,1,5,2
97,19,3,3,2,3,3,3,1,3,3,1
98,15,1,1,3,5,5,5,3,4,5,2
99,42,3,3,3,3,4,3,3,4,3,3
100,16,2,2,1,3,4,3,4,4,3,1
101,19,5,5,5,4,4,4,5,4,4,4
102,29,2,2,2,5,1,5,3,5,5,2
103,27,3,3,3,3,3,3,3,3,3,2
104,22,5,5,4,5,5,5,3,1,5,5
105,15,3,3,3,4,4,4,2,1,4,1
106,11,1,1,3,1,1,1,2,1,1,0
107,34,4,4,3,5,5,5,1,4,5,2
108,26,2,2,4,1,1,1,1,3,1,0
109,26,3,2,2,4,4,4,3,5,4,1
110,53,5,5,5,5,5,4,4,4,3,3
111,36,4,2,2,1,4,4,4,4,1,0
112,32,1,4,5,1,1,1,4,3,1,0
113,20,2,2,3,5,5,5,2,4,5,2
114,35,2,2,2,1,1,4,5,4,4,3
115,15,2,2,1,1,1,1,4,4,1,0
116,52,2,2,3,3,3,3,2,2,3,1
117,45,1,1,1,5,4,2,5,2,5,5
118,24,4,4,3,3,5,3,4,4,3,1
119,46,4,3,3,4,4,4,4,4,4,1
120,26,3,3,3,1,1,1,3,3,1,0
121,28,4,1,1,4,4,4,3,2,4,1
